"ALTO ISD","CHEROKEE COUNTY CO-OP","037901","037901002","","N","1","PE","","N","09 - 12","037","07","CHEROKEE","Secondary"
"ALVARADO ISD","ALVARADO EL-NORTH","126901","126901102","","N","A","NA","","N","EE - 04","126","11","JOHNSON","Elementary"
"ALVARADO ISD","ALVARADO EL-SOUTH","126901","126901101","","N","A","NA","","N","KG - 04","126","11","JOHNSON","Elementary"
"ALVARADO ISD","ALVARADO H S","126901","126901001","","N","A","NQ","","N","09 - 12","126","11","JOHNSON","Secondary"
"ALVARADO ISD","ALVARADO INT","126901","126901104","","N","R","NA","","N","05 - 06","126","11","JOHNSON","Middle"
"ALVARADO ISD","ALVARADO J H","126901","126901041","","N","A","NA","","N","07 - 08","126","11","JOHNSON","Middle"
"ALVARADO ISD","LILLIAN EL","126901","126901103","","N","A","NA","","N","KG - 04","126","11","JOHNSON","Elementary"
"ALVIN ISD","ALVIN EL","020901","020901101","","N","A","NA","","N","04 - 06","020","04","BRAZORIA","Elementary"
"ALVIN ISD","ALVIN EVENING SCH","020901","020901003","","N","N","NR","","N","11 - 12","020","04","BRAZORIA","Secondary"
"ALVIN ISD","ALVIN H S","020901","020901001","","N","A","NQ","","N","09 - 12","020","04","BRAZORIA","Secondary"
"ALVIN ISD","ALVIN J H","020901","020901041","","N","R","NA","","N","07 - 08","020","04","BRAZORIA","Middle"
"ALVIN ISD","ALVIN PRI","020901","020901102","020901101","N","A","NA","ALVIN ELEM.","N","EE - 03","020","04","BRAZORIA","Elementary"
"ALVIN ISD","ASSETS LEARNING CTR","020901","020901044","","N","A","NA","","N","07 - 08","020","04","BRAZORIA","Middle"
"ALVIN ISD","DAY STAR RESIDENTIAL","020901","020901200","","N","N","NR","","N","EE - 12","020","04","BRAZORIA","Both Elem/Sec"
"ALVIN ISD","E C MASON PRI","020901","020901105","","N","R","NA","","N","EE - 05","020","04","BRAZORIA","Elementary"
"ALVIN ISD","G W HARBY J H","020901","020901043","","N","A","NA","","N","07 - 08","020","04","BRAZORIA","Middle"
"ALVIN ISD","LONGFELLOW EL","020901","020901104","","N","A","NA","","N","04 - 06","020","04","BRAZORIA","Elementary"
"ALVIN ISD","MANVEL J H","020901","020901042","","N","A","NA","","N","06 - 08","020","04","BRAZORIA","Middle"
"ALVIN ISD","MARK TWAIN PRI","020901","020901103","020901104","N","R","NA","LONGFELLOW ELEM.","N","EE - 03","020","04","BRAZORIA","Elementary"
